asketisch,  asketischer, asketischsten
askriptiv, —, —
asozial, asozialer, asozialsten
asphaltiert, -, -
asphaltisch, -, -
assertiv, assertiver, assertivsten
assertorisch, assertorischer, assertorischsten
assi, –, –
assimiliert, —, —
assoziativ, assoziativer, assoziativsten
assyrisch, assyrischer, assyrischsten
asthenisch, -, -
astral, —, —
astrein, astreiner, astreinsten
astronomisch, astronomischer, astronomischsten
asturisch, asturischer, asturischsten
asylberechtigt, —, —
asymmetrisch, asymmetrischer, asymmetrischsten
asymptotisch, —, —
asyndetisch, -, -
atavistisch, atavistischer, atavistischsten
atembar, -, -
atemberaubend, atemberaubender, atemberaubendsten
atemlos, atemloser, atemlosesten
atemraubend, atemraubender, atemraubendsten
atheistisch, atheistischer, atheistischsten
athenisch, -, -
athermisch, —, —
athletisch, athletischer, athletischsten
atlantisch, —, —
atlassen, —, —
atmungsaktiv, atmungsaktiver, atmungsaktivsten
atomar, —, —
atombetrieben, —, —
atomistisch, atomistischer, atomistischsten
atoxisch, —, —
atrophisch, —, —
attent, attenter, attentesten
attisch, -, -
attraktiv, attraktiver, attraktivsten
attributiv, —, —
atypisch, atypischer, atypischsten
aubergine, —, —
auberginefarben, -, -
auditiv, —, —
aufblasbar, -, -
aufdringlich, aufdringlicher, aufdringlichsten
auffallend, auffallender, auffallendsten
auffindbar, –, –
auffällig, auffälliger, auffälligsten
aufgebracht, aufgebrachter, aufgebrachtesten
aufgeklärt, aufgeklärter, aufgeklärtesten
aufgeladen, -, -
aufgelöst, —, —
aufgemotzt, aufgemotzter, aufgemotztesten
aufgeregt, aufgeregter, aufgeregtesten
aufgeräumt, aufgeräumter, aufgeräumtesten
aufgeweckt, aufgeweckter, aufgewecktesten
aufhältig, —, —
aufkeimend, —, —
aufkommensneutral, –, –
auflandig, -, -
auflösbar, –, –
aufmerksam, aufmerksamer, aufmerksamsten
aufmüpfig, aufmüpfiger, aufmüpfigsten
aufnahmefähig, aufnahmefähiger, aufnahmefähigsten
aufopferungsvoll, aufopferungsvoller, aufopferungsvollsten
aufrecht,  aufrechter, aufrechtesten
aufreibend, aufreibender, aufreibendsten
aufreizend, aufreizender, aufreizendsten
aufrichtig, aufrichtiger, aufrichtigsten
aufrührerisch, aufrührerischer, aufrührerischsten
aufschlussreich, aufschlussreicher, aufschlussreichsten
aufsässig, aufsässiger, aufsässigsten
auftragsgemäß, —, —
aufwendig, aufwendiger, aufwendigsten
aufwändig, aufwändiger, aufwändigsten
aufzählbar, —, —
augenblicklich, —, —
augenfällig, augenfälliger, augenfälligsten
augenscheinlich, augenscheinlicher, augenscheinlichsten
augusteisch, —, —
auktorial, —, —
auratisch, —, —
ausbeuterisch, —, —
ausdauernd, ausdauernder, ausdauerndsten
ausdruckslos, ausdrucksloser, ausdruckslosesten
ausdrucksreich , ausdrucksreicher, ausdrucksreichsten
ausdrucksstark, ausdrucksstärker, ausdrucksstärksten
ausdrucksvoll, ausdrucksvoller, ausdrucksvollsten
ausdrücklich, ausdrücklicher, ausdrücklichsten
ausführlich, ausführlicher, ausführlichsten
ausgebucht, —, —
ausgebufft, ausgebuffter, ausgebufftesten
ausgedehnt, ausgedehnter, ausgedehntesten
ausgeglichen, ausgeglichener, ausgeglichensten
ausgekocht, ausgekochter, ausgekochtesten
ausgelassen, ausgelassener, ausgelassensten
ausgelernt, –, –
ausgemergelt, ausgemergelter, ausgemergeltsten
ausgeschildert, —, —
ausgeschlossen, —, —
ausgesprochen, —, —
ausgestattet, —, —
ausgestellt, -, -
ausgestorben, —, —
ausgetreten, ausgetretener, ausgetretensten
ausgewachsen, —, —
ausgewogen, ausgewogener, ausgewogensten
ausgezeichnet, —, —
ausgiebig, ausgiebiger, ausgiebigsten
ausheimisch, —, —
auskultatorisch, —, —
auskunftspflichtig, —, —
auslaufsicher, auslaufsicherer, auslaufsichersten
ausländerfeindlich, ausländerfeindlicher, ausländerfeindlichsten
ausländerfrei, —, —
ausländisch, -, -
ausnahmslos, —, —
ausnehmend, –, –
ausreichend, ausreichender, ausreichendsten
ausreisepflichtig, —, —
aussagefähig, aussagefähiger, aussagefähigsten
aussagekräftig, aussagekräftiger, aussagekräftigsten
ausschlaggebend, —, —
ausschließlich, —, —
ausschweifend, ausschweifender, ausschweifendsten
aussichtslos, aussichtsloser, aussichtslosesten
ausstehend, —, —
austherapiert, —, —
austilgbar, –, –
austrainiert, austrainierter, austrainiertesten
austral, —, —
australid, —, —
australisch, australischer, australischsten
australoid, australoider, australoidsten
austriakisch, –, –
austrofaschistisch, —, —
austromarxistisch, —, —
austronesisch, —, —
ausweglos, auswegloser, ausweglosesten
auswertbar, —, —
auswählbar, -, -
auswärtig, —, —
ausziehbar, —, —
autark, autarker, autarksten
autarkisch, —, —
authentisch, authentischer, authentischsten
authigen, —, —
autistisch, —, —
autobiografisch, autobiografischer, autobiografischsten
autobiographisch, autobiographischer, autobiographischsten
autochthon, —, —
autodidaktisch, —, —
autodynamisch, —, —
autoerotisch, —, —
autofrei, —, —
autogam, —, —
autogen, —, —
autografisch, —, —
autographisch, —, —
autokephal, —, —
autokratisch, autokratischer, autokratischsten
autolytisch, —, —
automationsunterstützt, —, —
automatisch, -, -
automobil, —, —
automobilistisch, —, —
automorph, —, —
autonom, autonomer, autonomsten
autonym, —, —
autopoietisch, autopoietischer, autopoietischsten
autoritativ, —, —
autoritär, autoritärer, autoritärsten
autoritätsgläubig, autoritätsgläubiger, autoritätsgläubigsten
autosemantisch, —, —
autosexuell, —, —
autosuggestiv, —, —
autotroph, —, —
autotypisch, —, —
autovegetativ, —, —
autozentriert, —, —
autozephal, —, —
autumnal, —, —
auxiliar, —, —
auxochrom, —, —
auxoheterotroph, —, —
auxotroph, —, —
außengelegen, -, -
außenliegend, -, -
außenpolitisch, —, —
außerbewusst, —, —
außerbiblisch, —, —
außerehelich, —, —
außereuropäisch, —, —
außergerichtlich, —, —
außergewöhnlich, —, —
außerirdisch, außerirdischer, außerirdischsten
außerordentlich, —, —
außerplanmäßig, -, -
avantgardistisch, avantgardistischer, avantgardistischsten
average, —, —
averbal, —, —
aversiv, —, —
avestisch, -, -
aviatisch, —, —
avirulent, —, —
aviär, –, –
awestisch, —, —
axial, -, -
axillar, —, —
axiologisch, —, —
axiomatisch, —, —
axonometrisch, —, —
ayurvedisch, —, —
ayurwedisch, —, —
azentrisch, azentrischer, azentrischsten
azeotrop, —, —
azephal, —, —
azetonämisch, —, —
azimutal, —, —
azinös, —, —
azoisch, —, —
azonal, —, —
aztekisch, aztekischer, aztekischsten
azurblau, —, —
azuriert, —, —
azurn, —, —
azyklisch, —, —
babyeierleicht, —, —
babyleicht, —, —
babylonisch, —, babylonischsten
bacchantisch, bacchantischer, bacchantischsten
baden-württembergisch, baden-württembergischer, baden-württembergischsten
badisch, -, -
baff, —, —
bahamaisch, —, —
bahnbrechend, bahnbrechender, bahnbrechendsten
